Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
4/10/2025,8:00:00 PM,144.524,144.861,144.441,144.747,10343,0,13
4/10/2025,9:00:00 PM,144.747,144.824,144.464,144.57,9579,0,13
4/10/2025,10:00:00 PM,144.581,145.125,144.565,144.652,9522,0,13
4/10/2025,11:00:00 PM,144.651,144.829,144.405,144.415,4677,0,13
4/11/2025,12:00:00 AM,144.4,144.576,144.392,144.458,534,0,28
4/11/2025,1:00:00 AM,144.469,144.531,143.971,144.076,5059,0,13
4/11/2025,2:00:00 AM,144.078,144.231,143.708,143.747,8268,0,13
4/11/2025,3:00:00 AM,143.748,143.763,142.877,143.349,10518,0,13
4/11/2025,4:00:00 AM,143.347,143.774,143.225,143.527,9241,0,13
4/11/2025,5:00:00 AM,143.525,143.734,143.265,143.569,7576,0,13
4/11/2025,6:00:00 AM,143.572,143.6,143.119,143.181,7039,0,13
4/11/2025,7:00:00 AM,143.181,143.318,142.88,142.917,6402,0,13
4/11/2025,8:00:00 AM,142.918,143.776,142.915,143.592,7532,0,13
4/11/2025,9:00:00 AM,143.596,144.136,143.548,143.883,8678,0,13
4/11/2025,10:00:00 AM,143.884,143.936,142.794,142.826,9635,0,13
4/11/2025,11:00:00 AM,142.832,143.073,142.059,142.401,10382,0,13
4/11/2025,12:00:00 PM,142.401,142.696,142.067,142.511,9356,0,13
4/11/2025,1:00:00 PM,142.51,143.211,142.507,142.983,8757,0,13
4/11/2025,2:00:00 PM,142.985,143.035,142.496,142.593,8191,0,13
4/11/2025,3:00:00 PM,142.607,142.952,142.398,142.514,9320,0,13
4/11/2025,4:00:00 PM,142.515,143.558,142.21,143.072,10503,0,13
4/11/2025,5:00:00 PM,143.079,143.601,142.826,143.523,9980,0,13
4/11/2025,6:00:00 PM,143.523,143.713,143.292,143.569,8488,0,13
4/11/2025,7:00:00 PM,143.571,143.977,143.56,143.774,7770,0,13
4/11/2025,8:00:00 PM,143.775,144.19,143.683,144.124,8371,0,13
4/11/2025,9:00:00 PM,144.124,144.159,143.72,143.796,7938,0,13
4/11/2025,10:00:00 PM,143.797,143.84,143.504,143.588,6903,0,13
4/11/2025,11:00:00 PM,143.584,143.645,143.428,143.443,3037,0,13
4/14/2025,12:00:00 AM,143.92,143.946,143.56,143.7,1569,0,40
4/14/2025,1:00:00 AM,143.637,144.052,143.499,143.652,5046,0,13
4/14/2025,2:00:00 AM,143.652,143.894,143.573,143.687,6346,0,13
4/14/2025,3:00:00 AM,143.684,143.734,142.885,142.9,8345,0,13
4/14/2025,4:00:00 AM,142.895,142.962,142.241,142.667,8281,0,13
4/14/2025,5:00:00 AM,142.666,142.99,142.564,142.958,6163,0,13
4/14/2025,6:00:00 AM,142.958,143.183,142.704,143.015,5605,0,13
4/14/2025,7:00:00 AM,143.014,143.194,142.672,143.03,4642,0,13
4/14/2025,8:00:00 AM,143.029,143.268,142.66,142.756,6068,0,13
4/14/2025,9:00:00 AM,142.765,142.899,142.336,142.423,7921,0,13
4/14/2025,10:00:00 AM,142.411,143.081,142.222,143.071,7493,0,13
4/14/2025,11:00:00 AM,143.073,143.157,142.821,142.904,6528,0,13
4/14/2025,12:00:00 PM,142.904,143.088,142.752,143.063,5850,0,13
4/14/2025,1:00:00 PM,143.063,143.286,143.04,143.089,5526,0,13
4/14/2025,2:00:00 PM,143.088,143.349,142.998,143.234,5587,0,13
4/14/2025,3:00:00 PM,143.234,143.692,143.146,143.661,6595,0,13
4/14/2025,4:00:00 PM,143.657,144.072,143.506,143.631,8852,0,13
4/14/2025,5:00:00 PM,143.633,143.815,143.256,143.276,8079,0,13
4/14/2025,6:00:00 PM,143.276,143.333,142.883,142.964,7820,0,13
4/14/2025,7:00:00 PM,142.963,143.225,142.771,143.21,7654,0,13
4/14/2025,8:00:00 PM,143.212,143.337,142.87,143.061,6741,0,13
4/14/2025,9:00:00 PM,143.053,143.164,142.858,142.882,5289,0,13
4/14/2025,10:00:00 PM,142.883,143.066,142.849,143.018,5116,0,13
